77;2
78;1.5
31;1.4
24;1.4
47;1.4
02;1.4
65;1.4
72;1.4
89;1.4
50;1.4
86;1.4
23;1.3
59;1.3
16;1.3
42;1.3
70;1.3
11;1.3
38;1.3
14;1.3
83;1.3
66;1.2
63;1.2
54;1.2
52;1.2
25;1.2
55;1.2
56;1.2
10;1.2
58;1.2
73;1.2
29;1.2
18;1.2
22;1.2
39;1.2
51;1.2
27;1.2
64;1.2
34;1.2
87;1.2
61;1.1
48;1.1
75;1.1
49;1.1
28;1.1
41;1.1
67;1.1
21;1.1
43;1.1
04;1.1
45;1.1
19;1.1
74;1
33;1
46;1
76;1
40;1
36;1
71;1
69;1
68;1
35;1
62;1
26;1
12;1
37;1
03;1
57;1
13;1
53;1
30;1
05;1
32;1
91;1
92;1
17;1
79;1
08;1
06;1
09;1
15;1
07;1
01;1
20;1
44;1
60;1
99;1.1
80;1
